rebalance_date,next_date,holdings,n_holdings,turnover,trade_cost,gross_return,net_return,nav
2025-03-21,2025-03-28,"300972.SZ,688266.SH,002195.SZ,603688.SH,601615.SH,688114.SH,600208.SH,688192.SH,600673.SH,688166.SH",10,0.75,0.00195,0.023361903331665546,0.021411903331665545,2.221494689037339
2025-03-28,2025-04-07,"300100.SZ,688052.SH,300972.SZ,600988.SH,000967.SZ,688213.SH,002152.SZ,600673.SH,688266.SH,688692.SH",10,0.7,0.0018199999999999998,-0.04513480149308794,-0.04695480149308794,2.1171848468956416
2025-04-07,2025-04-14,"688347.SH,688629.SH,300570.SZ,300972.SZ,600988.SH,301536.SZ,300432.SZ,688052.SH,688322.SH,603688.SH",10,0.7,0.0018199999999999998,0.2163172579660691,0.2144972579660691,2.5713151911620686
2025-04-14,2025-04-21,"300972.SZ,688322.SH,688709.SH,300570.SZ,002402.SZ,688301.SH,688213.SH,603659.SH,688220.SH,000034.SZ",10,0.7,0.0018199999999999998,0.04775153879325992,0.04593153879325992,2.689419654614628
2025-04-21,2025-04-28,"300972.SZ,688709.SH,002294.SZ,688166.SH,603338.SH,002261.SZ,300570.SZ,002444.SZ,688301.SH,002402.SZ",10,0.5,0.0013,0.03553946206033768,0.03423946206033768,2.781503936843132
2025-04-28,2025-05-08,"300570.SZ,688347.SH,300972.SZ,002837.SZ,002195.SZ,002265.SZ,002402.SZ,603688.SH,688018.SH,300757.SZ",10,0.7,0.0018199999999999998,0.10333769446665879,0.10151769446665879,3.0638758036613813
2025-05-08,2025-05-15,"688336.SH,300115.SZ,688301.SH,688525.SH,688166.SH,300676.SZ,600095.SH,000987.SZ,001696.SZ,002465.SZ",10,1.0,0.0026,-0.012320572530605168,-0.014920572530605167,3.0181610225080853
2025-05-15,2025-05-22,"688336.SH,002402.SZ,000967.SZ,688183.SH,002683.SZ,002465.SZ,603228.SH,600765.SH,600095.SH,601179.SH",10,0.7,0.0018199999999999998,0.13159900946770625,0.12977900946770626,3.409854970423224
2025-05-22,2025-05-29,"300570.SZ,002080.SZ,688266.SH,688183.SH,688166.SH,600699.SH,000893.SZ,002465.SZ,002335.SZ,600095.SH",10,0.7,0.0018199999999999998,0.023415709886926272,0.021595709886926273,3.483493209120977
2025-05-29,2025-06-06,"688709.SH,688017.SH,002335.SZ,300570.SZ,002080.SZ,688266.SH,301536.SZ,688183.SH,000893.SZ,603228.SH",10,0.4,0.00104,0.11780562412909652,0.11676562412909652,3.890245467833457
2025-06-06,2025-06-13,"688520.SH,600521.SH,300570.SZ,300558.SZ,600392.SH,000657.SZ,002558.SZ,002080.SZ,601212.SH,600126.SH",10,0.8,0.00208,0.02322127618812323,0.021141276188123233,3.972490221708519
2025-06-13,2025-06-20,"600521.SH,002670.SZ,001389.SZ,600095.SH,300100.SZ,300570.SZ,002080.SZ,600699.SH,300558.SZ,002851.SZ",10,0.6,0.00156,-0.013560534265572844,-0.015120534265572845,3.912424047191523
2025-06-20,2025-06-27,"688520.SH,600435.SH,300570.SZ,002670.SZ,688318.SH,600884.SH,688248.SH,002558.SZ,688183.SH,000967.SZ",10,0.8,0.00208,0.1370515922742769,0.1349715922742769,4.440490150493133
2025-06-27,2025-07-04,"688520.SH,301200.SZ,600927.SH,688629.SH,600601.SH,688183.SH,603228.SH,600967.SH,002558.SZ,688709.SH",10,0.7,0.0018199999999999998,0.08289288060557233,0.08107288060557233,4.800493478294283
2025-07-04,2025-07-11,"688166.SH,002265.SZ,301200.SZ,002080.SZ,688318.SH,600095.SH,600601.SH,000519.SZ,300757.SZ,600967.SH",10,0.7,0.0018199999999999998,0.0511870970580782,0.0493670970580782,5.037479905763908
2025-07-11,2025-07-18,"688520.SH,002265.SZ,688166.SH,603228.SH,600967.SH,002080.SZ,600095.SH,600435.SH,300757.SZ,600392.SH",10,0.4,0.00104,0.13005374729260913,0.12901374729260912,5.687384065317729
2025-07-18,2025-07-25,"600392.SH,688166.SH,300395.SZ,002265.SZ,600967.SH,002773.SZ,000657.SZ,300757.SZ,002080.SZ,300857.SZ",10,0.4,0.00104,0.1474049630800803,0.1463649630800803,6.519817824060195
2025-07-25,2025-08-01,"300718.SZ,300677.SZ,002436.SZ,002126.SZ,300857.SZ,688702.SH,600435.SH,300570.SZ,002008.SZ,600601.SH",10,0.9,0.00234,0.0371132582677944,0.0347732582677944,6.74653313311521
2025-08-01,2025-08-08,"301200.SZ,300718.SZ,002126.SZ,688166.SH,300570.SZ,688120.SH,000657.SZ,600392.SH,688702.SH,600435.SH",10,0.5,0.0013,0.08229523741318782,0.08099523741318783,7.292970185947815
