rebalance_date,next_date,holdings,n_holdings,turnover,trade_cost,gross_return,net_return,nav
2026-02-04,2026-02-11,"300570.SZ,002044.SZ,002130.SZ,002025.SZ,300390.SZ,600536.SH,601162.SH,600562.SH,688100.SH,689009.SH",10,0.4,0.00104,-0.0038902690778197524,-0.0049302690778197525,1.4058178091450455
2026-02-11,2026-02-26,"000060.SZ,300383.SZ,600170.SH,002130.SZ,002044.SZ,603000.SH,300570.SZ,000830.SZ,603233.SH,000563.SZ",10,0.7,0.0018199999999999998,0.0033641404212922943,0.0015441404212922945,1.407988589249119
2026-02-26,2026-03-05,"000060.SZ,300383.SZ,603000.SH,300570.SZ,300390.SZ,002265.SZ,688220.SH,601696.SH,688608.SH,688192.SH",10,0.6,0.00156,-0.07285968564015968,-0.07441968564015969,1.3032065210522676
2026-03-05,2026-03-12,"300724.SZ,600977.SH,603000.SH,002465.SZ,002436.SZ,300346.SZ,300383.SZ,300570.SZ,600390.SH,688322.SH",10,0.7,0.0018199999999999998,-0.0021125646851360646,-0.003932564685136065,1.2980815771101386
2026-03-12,2026-03-19,"002335.SZ,300570.SZ,300383.SZ,600884.SH,003035.SZ,300390.SZ,688387.SH,600390.SH,688322.SH,300623.SZ",10,0.6,0.00156,-0.05639751827587164,-0.05795751827587164,1.2228479903812055
2026-03-19,2026-03-26,"300570.SZ,300383.SZ,600157.SH,300390.SZ,000831.SZ,603228.SH,300450.SZ,002558.SZ,600580.SH,600021.SH",10,0.7,0.0018199999999999998,0.011622004474309023,0.009802004474309022,1.2348343518543219
2026-03-26,2026-04-02,"002465.SZ,002335.SZ,002025.SZ,301611.SZ,300383.SZ,002432.SZ,000703.SZ,300570.SZ,000739.SZ,000539.SZ",10,0.8,0.00208,-0.012162136305365445,-0.014242136305365445,1.2172476727006651
2026-04-02,2026-04-10,"002261.SZ,688295.SH,600157.SH,002756.SZ,000537.SZ,300757.SZ,000591.SZ,001696.SZ,002797.SZ,002025.SZ",10,0.9,0.00234,0.054538804244696745,0.05219880424469674,1.2807865456852798
2026-04-10,2026-04-17,"601212.SH,002261.SZ,002025.SZ,002335.SZ,601016.SH,002797.SZ,300383.SZ,300570.SZ,300390.SZ,300346.SZ",10,0.7,0.0018199999999999998,0.0670145866477851,0.0651945866477851,1.364286895115276
2026-04-17,2026-04-24,"600126.SH,300058.SZ,600143.SH,600699.SH,601233.SH,688599.SH,600166.SH,000060.SZ,600339.SH,601615.SH",10,1.0,0.0026,0.0048265348667039356,0.0022265348667039357,1.3673245274554373
2026-04-24,2026-05-06,"601212.SH,002261.SZ,002265.SZ,601615.SH,000967.SZ,600879.SH,000060.SZ,600126.SH,600499.SH,300100.SZ",10,0.7,0.0018199999999999998,0.021737182958467282,0.019917182958467283,1.394557780232367
2026-05-06,2026-05-13,"002155.SZ,300058.SZ,601016.SH,002432.SZ,002335.SZ,300724.SZ,300383.SZ,000155.SZ,000519.SZ,000563.SZ",10,1.0,0.0026,0.035834333439414376,0.03323433343941438,1.440904978501139
2026-05-13,2026-05-20,"002607.SZ,300383.SZ,300012.SZ,002157.SZ,002271.SZ,601615.SH,600118.SH,600673.SH,000400.SZ,688702.SH",10,0.9,0.00234,-0.048503864133384735,-0.050843864133384736,1.3676438015451093
2026-05-20,2026-05-27,"300529.SZ,002372.SZ,600208.SH,600884.SH,002432.SZ,002335.SZ,601016.SH,300383.SZ,002157.SZ,002607.SZ",10,0.7,0.0018199999999999998,-0.033616582925011004,-0.035436582925011006,1.3191791785597788
2026-05-27,2026-06-03,"002155.SZ,002203.SZ,002120.SZ,300383.SZ,300058.SZ,002410.SZ,300757.SZ,688702.SH,002335.SZ,601016.SH",10,0.7,0.0018199999999999998,-0.022276407225463434,-0.024096407225463433,1.28739169986985
2026-06-03,2026-06-10,"002155.SZ,002958.SZ,300383.SZ,600707.SH,605358.SH,601918.SH,002335.SZ,002203.SZ,000060.SZ,603688.SH",10,0.6,0.00156,-0.005478310196326797,-0.007038310196326797,1.2783306377419896
2026-06-10,2026-06-17,"002155.SZ,601016.SH,000733.SZ,601615.SH,688295.SH,688037.SH,688017.SH,688027.SH,688234.SH,688318.SH",10,0.9,0.00234,0.07949465547631249,0.07715465547631249,1.3769597976817878
2026-06-17,2026-06-18,"002155.SZ,603688.SH,002958.SZ,000733.SZ,002432.SZ,002465.SZ,000062.SZ,000060.SZ,300058.SZ,002203.SZ",10,0.8,0.00208,0.02583894559043205,0.02375894559043205,1.4096749105951218
