trade_date,code
20240628,002865.SZ
20240628,000785.SZ
20240628,688349.SH
20240628,600350.SH
20240628,600315.SH
20240628,600827.SH
20240628,000537.SZ
20240628,300888.SZ
20240628,000958.SZ
20240628,688425.SH
20240628,601568.SH
20240628,002608.SZ
20240628,000559.SZ
20240628,002690.SZ
20240628,000156.SZ
20240628,688029.SH
20240628,603517.SH
20240628,603707.SH
20240628,601992.SH
20240628,688032.SH
20240628,603826.SH
20240628,002867.SZ
20240628,600126.SH
20240628,300682.SZ
20240628,003022.SZ
20240628,688475.SH
20240628,000967.SZ
20240628,688778.SH
20240628,688520.SH
20240628,603218.SH
20240628,600032.SH
20240628,600481.SH
20240628,600361.SH
20240628,301267.SZ
20240628,600339.SH
20240628,603786.SH
20240628,600095.SH
20240628,688248.SH
20240628,603127.SH
20240628,000898.SZ
20240628,003035.SZ
20240628,688281.SH
20240628,600808.SH
20240628,002153.SZ
20240628,002563.SZ
20240628,603185.SH
20240628,601228.SH
20240628,000539.SZ
20240628,688779.SH
20240628,001872.SZ
20240628,600928.SH
20240628,000401.SZ
20240628,001203.SZ
20240628,688006.SH
20240628,000959.SZ
20240628,600764.SH
20240628,002518.SZ
20240628,603056.SH
20240628,603305.SH
20240628,600299.SH
20240628,688172.SH
20240628,601139.SH
20240628,300861.SZ
20240628,603317.SH
20240628,688276.SH
20240628,688387.SH
20240628,688375.SH
20240628,301029.SZ
20240628,002791.SZ
20240628,688819.SH
20240628,600927.SH
20240628,688107.SH
20240628,688153.SH
20240628,601858.SH
20240628,000031.SZ
20240628,601828.SH
20240628,601158.SH
20240628,688348.SH
20240628,002945.SZ
20240628,600956.SH
20240628,688295.SH
20240628,301165.SZ
20240628,603868.SH
20240731,300502.SZ
20240731,002028.SZ
20240731,600418.SH
20240731,601058.SH
20240731,002384.SZ
20240731,300394.SZ
20240731,600988.SH
20240731,601077.SH
20240731,002340.SZ
20240731,600066.SH
20240731,000988.SZ
20240731,688169.SH
20240731,002625.SZ
20240731,601168.SH
20240731,000933.SZ
20240731,300207.SZ
20240731,002273.SZ
20240731,601555.SH
20240731,600096.SH
20240731,600157.SH
20240731,000630.SZ
20240731,002156.SZ
20240731,688777.SH
20240731,601233.SH
20240731,600352.SH
20240731,002078.SZ
20240731,600885.SH
20240731,600079.SH
20240731,601108.SH
20240731,002223.SZ
20240731,688617.SH
20240731,002185.SZ
20240731,002202.SZ
20240731,688099.SH
20240731,000423.SZ
20240731,601128.SH
20240731,000400.SZ
20240731,002138.SZ
20240731,600879.SH
20240731,002128.SZ
20240731,002966.SZ
20240731,603606.SH
20240731,601567.SH
20240731,600765.SH
20240731,689009.SH
20240731,600109.SH
20240731,688120.SH
20240731,600873.SH
20240731,002517.SZ
20240731,600177.SH
20240731,301236.SZ
20240731,002738.SZ
20240731,300012.SZ
20240731,002353.SZ
20240731,000932.SZ
20240731,600497.SH
20240731,002532.SZ
20240731,300136.SZ
20240731,600536.SH
20240731,002008.SZ
20240731,300017.SZ
20240731,601577.SH
20240731,600298.SH
20240731,300474.SZ
20240731,601615.SH
20240731,002797.SZ
20240731,603596.SH
20240731,000683.SZ
20240731,002444.SZ
20240731,688122.SH
20240731,002673.SZ
20240731,601162.SH
20240731,601990.SH
20240731,000009.SZ
20240731,000728.SZ
20240731,002465.SZ
20240731,300037.SZ
20240731,300003.SZ
20240731,603160.SH
20240731,300395.SZ
20240731,000738.SZ
20240731,000783.SZ
20240731,601198.SH
20240731,002739.SZ
20240731,002409.SZ
20240731,600862.SH
20240731,000066.SZ
20240731,600839.SH
20240731,300699.SZ
20240731,600642.SH
20240731,300002.SZ
20240731,603345.SH
20240731,300054.SZ
20240731,600529.SH
20240731,002294.SZ
20240731,002281.SZ
20240731,002436.SZ
20240731,688180.SH
20240731,600985.SH
20240731,000878.SZ
20240731,600398.SH
20240731,002432.SZ
20240731,601696.SH
20240731,600369.SH
20240731,601000.SH
20240731,601666.SH
20240731,002262.SZ
20240731,600038.SH
20240731,002064.SZ
20240731,601997.SH
20240731,002472.SZ
20240731,603979.SH
20240731,300763.SZ
20240731,600895.SH
20240731,600699.SH
20240731,600820.SH
20240731,000831.SZ
20240731,600155.SH
20240731,600521.SH
20240731,300285.SZ
20240731,002850.SZ
20240731,300001.SZ
20240731,002595.SZ
20240731,601179.SH
20240731,000039.SZ
20240731,300724.SZ
20240731,600549.SH
20240731,600141.SH
20240731,002155.SZ
20240731,300114.SZ
20240731,688525.SH
20240731,000703.SZ
20240731,603179.SH
20240731,300373.SZ
20240731,600863.SH
20240731,600763.SH
20240731,000960.SZ
20240731,002195.SZ
20240731,600060.SH
20240731,300146.SZ
20240731,000921.SZ
20240731,603589.SH
20240731,002984.SZ
20240731,600166.SH
20240731,600118.SH
20240731,600704.SH
20240731,000513.SZ
20240731,000636.SZ
20240731,000021.SZ
20240731,600486.SH
20240731,002385.SZ
20240731,603087.SH
20240731,603338.SH
20240731,300058.SZ
20240731,000729.SZ
20240731,600021.SH
20240731,600909.SH
20240731,301358.SZ
20240731,002025.SZ
20240731,601717.SH
20240731,002407.SZ
20240731,000830.SZ
20240731,300529.SZ
20240731,002558.SZ
20240731,000623.SZ
20240731,600008.SH
20240731,600348.SH
20240731,300144.SZ
20240731,600637.SH
20240731,688213.SH
20240731,600546.SH
20240731,600511.SH
20240731,601216.SH
20240731,603939.SH
20240731,002756.SZ
20240731,600535.SH
20240731,605358.SH
20240731,600516.SH
20240731,300024.SZ
20240731,603816.SH
20240731,002152.SZ
20240731,600170.SH
20240731,300073.SZ
20240731,300604.SZ
20240731,601966.SH
20240731,601456.SH
20240731,300677.SZ
20240731,600872.SH
20240731,000591.SZ
20240731,600143.SH
20240731,600583.SH
20240731,000750.SZ
20240731,688188.SH
20240731,000598.SZ
20240731,300383.SZ
20240731,600153.SH
20240731,600380.SH
20240731,688521.SH
20240731,600566.SH
20240731,601016.SH
20240731,002958.SZ
20240731,600563.SH
20240731,600392.SH
20240731,600998.SH
20240731,300567.SZ
20240731,600859.SH
20240731,002044.SZ
20240731,300866.SZ
20240731,000723.SZ
20240731,002429.SZ
20240731,688065.SH
20240731,600004.SH
20240731,600867.SH
20240731,000519.SZ
20240731,300251.SZ
20240731,601665.SH
20240731,002939.SZ
20240731,300088.SZ
20240731,002439.SZ
20240731,000629.SZ
20240731,601991.SH
20240731,600498.SH
20240731,600580.SH
20240731,600282.SH
20240731,000997.SZ
20240731,603000.SH
20240731,000060.SZ
20240731,600754.SH
20240731,603290.SH
20240731,000818.SZ
20240731,600816.SH
20240731,002261.SZ
20240731,002414.SZ
20240731,600970.SH
20240731,002926.SZ
20240731,002500.SZ
20240731,603156.SH
20240731,601231.SH
20240731,002120.SZ
20240731,300601.SZ
20240731,002624.SZ
20240731,300568.SZ
20240731,603077.SH
20240731,688385.SH
20240731,688772.SH
20240731,600655.SH
20240731,000998.SZ
20240731,600131.SH
20240731,688052.SH
20240731,600673.SH
20240731,002497.SZ
20240731,002065.SZ
20240731,603893.SH
20240731,300765.SZ
20240731,601933.SH
20240731,002508.SZ
20240731,601958.SH
20240731,601156.SH
20240731,688390.SH
20240731,300390.SZ
20240731,002244.SZ
20240731,300009.SZ
20240731,603885.SH
20240731,000893.SZ
20240731,002507.SZ
20240731,000883.SZ
20240731,002299.SZ
20240731,300118.SZ
20240731,300487.SZ
20240731,603927.SH
20240731,688002.SH
20240731,600129.SH
20240731,002056.SZ
20240731,600325.SH
20240731,300803.SZ
20240731,603658.SH
20240731,601636.SH
20240731,600801.SH
20240731,603568.SH
20240731,300253.SZ
20240731,600416.SH
20240731,600499.SH
20240731,601866.SH
20240731,600390.SH
20240731,601611.SH
20240731,600435.SH
20240731,000027.SZ
20240731,601880.SH
20240731,600582.SH
20240731,002430.SZ
20240731,000887.SZ
20240731,603486.SH
20240731,600329.SH
20240731,600737.SH
20240731,002568.SZ
20240731,600707.SH
20240731,002203.SZ
20240731,688234.SH
20240731,688114.SH
20240731,600598.SH
20240731,600316.SH
20240731,600739.SH
20240731,600399.SH
20240731,300070.SZ
20240731,600848.SH
20240731,002506.SZ
20240731,002653.SZ
20240731,600995.SH
20240731,600271.SH
20240731,000563.SZ
20240731,300676.SZ
20240731,002936.SZ
20240731,002372.SZ
20240731,600373.SH
20240731,600901.SH
20240731,300296.SZ
20240731,002019.SZ
